,full_link
135,https://ekstrabladet.dk/underholdning/dkkendte/oliver-bjerrehuus-efter-se-og-hoer-dom-what-the-fuck-hold-da-kaeft-aah-nej-nej-nej-hvor-er-det-sindssygt/6421952
136,https://ekstrabladet.dk/krimi/bus-paakoerer-skole-i-oslo-mindst-ti-kvaestede/9907219
137,https://ekstrabladet.dk/nationen/kirstens-fugl-hoster-naar-naboen-har-ild-i-braendeovnen/7955092
138,https://ekstrabladet.dk/bibliotek/erhverv/mette-blomsterberg-taber-over-halv-million/6148486
139,https://ekstrabladet.dk/nyheder/politik/danskpolitik/stoejberg-deler-kage-billede-nu-raser-debatten/6573626
140,https://ekstrabladet.dkhttp://ekstrabladet.dk/biler/smart-trick-faa-pakker-leveret-direkte-til-bagagerummet/6210733
141,https://ekstrabladet.dk/biler/oplad-elbilen-paa-arbejde-eu-kraever-ladestandere-paa-nye-parkeringspladser/7026271
142,https://ekstrabladet.dk/nyheder/hm-siger-farvel-efter-meldinger-om-misbrug/9908817
143,https://ekstrabladet.dk/nationen/saadan-snyder-rusland-vesten/9403746
144,https://ekstrabladet.dk/biler/bil-stjaalet-igen-og-igen-aegtepar-skal-aldrig-mere-have-noeglefri-bil/7265837
145,https://ekstrabladet.dk/nationen/milliardregning-storebaelts-bilister-skal-betale-igen/8533930
146,https://ekstrabladet.dk/krimi/saadan-blev-23-tons-hash-fragtet-fra-landsby-til-landsby/9896641
147,https://ekstrabladet.dk/nyheder/politik/danskpolitik/skriger-paa-kokke-men-myndighederne-afviser-96-procent/8966076
148,https://ekstrabladet.dk/underholdning/reality/amalie-paa-foedegangen-i-fuld-krigsmaling/6290583
149,https://ekstrabladet.dk/nyheder/politik/radikal-hidsigprop-gik-amok-i-lufthavn/8828272
150,https://ekstrabladet.dk/nationen/nu-maa-det-vaere-nok-bragte-skam-over-familien-ved-ikke-at-have-toerklaede-paa/7075207
151,https://ekstrabladet.dk/biler/tysk-bilgigant-satser-alt-paa-ny-elbil/6321281
152,https://ekstrabladet.dk/biler/se-historisk-dyr-firehjulstraekker-give-den-gas-i-oerkenen/7087964
153,https://ekstrabladet.dk/underholdning/filmogtv/kendisser-i-forraeder-kom-med-bag-tv-2-satsning/9898705
154,https://ekstrabladet.dk/krimi/tre-personer-er-faengslet-for-tricktyverier-mod-aeldre-borgere/9907249
